Gene	Bcells	CAFs	CD4_Tcells	CD8_Tcells	Endothelial	Macrophages	NKcells	Bcells.var	CAFs.var	CD4_Tcells.var	CD8_Tcells.var	Endothelial.var	Macrophages.var	NKcells.var
ABCC5-AS1	0	0	0.58978	0.20251	0	0	0	0	0	7.5759	3.2695	0	0	0
ABCC6	0	0	0.45234	0.49408	0.54093	4.7623	2.9696	0	0	3.8003	5.7981	1.7941	28.014	16.534
ABCC6P1	0	0	0.1	0.69457	0	0	0	0	0	1.2845	9.223	0	0	0
ABCC6P2	0	0	0	0.65059	0	0	0	0	0	0	11.157	0	0	0
ABCC8	0.096929	0	0	0.050528	0	0.045365	0	0.76322	0	0	0.64579	0	0.32146	0
ABCC9	86.371	42.642	88.969	116.48	27.207	29.415	77.868	78.733	39.541	126.56	143.51	32.324	33.773	64.022
ABCD1	2.3967	23.903	4.5907	7.7485	0	13.693	0	18.872	52.47	25.468	57.781	0	43.251	0
ABCD2	6.5615	0	5.7335	25.637	0	0	7.929	48.81	0	28.148	80.966	0	0	44.147
ABCD3	11.473	41.465	9.0672	21.251	47.808	8.3348	11.565	40.821	95.254	48.712	150.65	70.783	29.62	58.666
ABCD4	31.23	29.507	25.335	26.099	97.269	13.065	20.096	102.64	38.973	83.292	97.485	91.73	35.822	67.712
ABCE1	12.247	51.947	39.179	41.692	15.505	23.997	13.128	39.711	110	121.07	125.56	26.296	68.721	59.67
ABCF1	10.458	32.588	41.905	43.213	10.128	20.218	17.682	35.458	52.45	136.02	123.09	12.097	78.927	78.515
ABCF2	29.104	11.011	54.546	39.042	2.4965	26.661	24.782	99.095	25.155	165.73	142.86	5.9993	109.67	125.76
ABCF3	9.9091	40.258	35.363	36.029	26.947	19.005	40.623	54.262	67.302	119.77	130.24	62.701	53.113	142.76
ABCG1	40.363	35.124	28.689	45.285	16.277	55.974	22.354	127.79	99.344	138.04	161.25	42.661	113.58	86.718
ABCG2	0.084839	0	0.21412	0.16884	0	0.24231	0	0.66802	0	2.6717	3.0475	0	1.6757	0
ABCG4	0	0	0	0.06055	0	0	0	0	0	0	0.8807	0	0	0
ABCG5	0	0	0	0.10765	0	0	0	0	0	0	1.8643	0	0	0
ABCG8	0	0	0.24109	0.092918	0	0	0	0	0	2.6989	2.2493	0	0	0
ABHD1	0	0	2.6202	0.35326	0	0.51768	8.0026	0	0	27.64	8.5516	0	4.6878	44.556
ABHD10	25.084	15.631	29.72	26.048	8.4537	14.083	22.618	80.478	22.656	120.5	123.43	19.281	62.77	76.652
ABHD11	37.436	12.282	32.968	45.54	21.114	34.674	27.191	68.199	23.088	56.082	92.29	34.489	66.465	29.381
ABHD12	0.038545	9.724	27.812	27.293	0.65454	94.314	0	0.30351	27.504	112.65	120.96	2.1709	145.69	0
ABHD12B	0.49853	3.2388	0.1414	0.70121	0	0.083169	0.32195	2.0102	9.1606	1.3448	12.801	0	0.50836	1.2467
ABHD13	29.424	3.5862	20.951	13.971	30.476	12.695	8.8365	111.16	7.5535	80.105	58.008	47.064	41.592	40.162
ABHD14A	20.836	35.841	41.693	60.9	25.286	14.718	64.437	108.6	69.026	156.53	235.18	83.863	54.419	260.3
ABHD14A-ACY1	0	6.0849	0	0.48307	0	1.087	0	0	14.171	0	8.1957	0	6.9676	0
ABHD14B	111.8	90.569	84.202	88.482	44.439	32.651	22.782	236.06	102.94	199.34	234.25	116.16	73.389	88.192
ABHD15	24.509	2.8188	11.642	16.517	7.9729	8.4117	28.965	154.06	3.1457	22.844	52.719	13.285	26.592	72.436
ABHD16A	79.122	20.791	43.519	70.698	84.649	59.379	41.47	232.2	41.281	156.94	218.83	189.03	139.02	206.89
ABHD16B	7.6247	7.4939	0.83651	7.7079	1.3127	2.5162	12.061	60.037	18.562	6.7335	73.268	4.3536	18.998	42.174
ABHD2	7.9342	27.089	22	24.522	5.1192	19.881	18.249	25.845	34.646	56.226	60.315	9.3553	37.911	40.666
ABHD3	38.091	10.322	84.06	84.36	0	33.866	30.658	158.61	22.131	199.08	239.34	0	88.351	87.508
ABHD4	38.903	10.404	8.1238	25.04	106.33	14.984	45.865	136.93	29.426	64.338	135.37	178.84	44.824	190.51
ABHD5	2.1275	8.6126	8.7421	5.2923	3.2872	16.075	9.6863	13.154	9.4113	48.57	37.302	7.9138	45.808	37.578
ABHD6	2.4063	0	16.614	15.338	10.2	8.2374	0	9.3472	0	119.77	96.182	33.829	30.259	0
ABHD8	3.3346	1.765	9.3231	4.5255	2.9382	3.6882	0	26.256	4.9922	78.126	33.915	9.7449	18.892	0
ABI1	62.176	21.884	92.268	119.21	16.905	109.8	76.372	116.5	26.373	177.05	227.69	31.285	145.48	120.08
ABI2	10.386	10.476	16.397	20.197	5.6165	10.346	28.616	29.339	16.957	38.15	55.133	11.958	21.816	74.878
ABI3	26.194	0	18.824	101.95	130.81	83.989	241.1	91.801	0	68.345	219.48	131.96	113.49	392.95
ABI3BP	1.2911	97.063	0.17048	0.16815	0	0.0025608	0.025162	8.5856	127.95	2.1899	3.6397	0	0.023189	0.1401
ABL1	10.256	17.97	9.7924	10.319	57.051	7.625	10.465	56.433	31.083	46.943	44.255	118.82	26.43	56.45
ABL2	4.1249	19.919	7.7863	9.3236	99.68	13.314	14.128	5.6818	24.733	24.801	21.231	231.94	21.767	51.819
ABLIM1	54.91	46.078	53.907	39.414	70.427	0.097682	60.75	117.31	77.164	111.75	96.884	49.91	0.84418	137.93
ABLIM2	0	13.963	1.0506	0.27635	22.912	0	0	0	39.495	8.6379	6.2364	58.26	0	0
ABLIM3	0	0	0.10352	0.045228	33.705	13.47	0	0	0	0.94346	0.53589	33.672	70.975	0
ABO	0	0	0.092121	0.2531	12.467	0.70766	0	0	0	0.85805	4.9321	41.349	6.4082	0
ABP1	0	0	0.17619	0.074158	0	3.2907	0	0	0	2.2631	1.5003	0	28.685	0
ABR	22.583	28.776	36.834	32.595	24.315	31.729	13.759	81.427	65.493	108.14	109.12	54.795	53.668	48.019
ABRA	0	1.3625	0.14351	0.617	0	0.038292	0.021613	0	3.8537	1.8435	7.6725	0	0.32723	0.12034
ABRACL	54.235	61.886	207.72	177.9	116.27	92.81	56.886	135.89	80.542	340.03	307.62	200.11	165.37	133.58
ABT1	47.955	28.755	78.43	80.888	42.698	33.734	46.798	152.96	40.796	180.85	197.82	88.394	84.571	228.45
ABTB1	53.298	31.12	50.965	39.076	20.988	12.384	159.45	154.68	66.404	139.14	120.3	48.357	47.855	402.64
ABTB2	0.34095	1.2875	1.1908	1.4277	0.20182	1.8314	0	2.6847	3.6417	10.575	12.768	0.66936	11.464	0
ACAA1	88.08	78.703	101.03	116.34	104.23	116.71	114.56	242.92	104.63	251.58	271.66	170.58	188.42	281.35
ACAA2	30.077	122.6	59.391	71.33	83.53	85.682	284.51	162.27	80.512	185.8	233.78	103.79	176.92	396.56
ACACA	5.3201	3.66	7.8893	7.0194	0.73455	1.5808	8.1919	17.812	5.9853	34.781	30.155	1.8673	5.5954	28.762
ACACB	1.8187	2.2986	3.3264	1.8772	5.6536	0.89204	4.1904	5.9258	5.7398	24.301	11.914	14.512	6.1684	20.469
ACAD10	19.666	7.253	12.669	16.254	22.055	8.9633	2.7359	60.467	20.515	68.719	74.343	46.412	36.697	12.016
ACAD11	21.575	14.839	25.697	36.031	13.988	3.6825	88.101	67.808	27.735	109.9	115.85	31.332	14.751	213
ACAD8	9.1372	0	16.263	34.669	22.133	7.1271	65.236	42.539	0	92.631	143.09	39.916	46.727	253.57
ACAD9	17.045	19.921	16.528	27.478	7.8873	20.326	35.779	74.197	39.143	102.35	119.14	26.159	61.715	110.69
ACADL	0	5.2014	0	0	0	0	0	0	14.712	0	0	0	0	0
ACADM	48.175	55.419	32.208	55.371	22.413	27.47	63.22	108.71	152.77	118.3	166.2	49.739	67.062	171.67
ACADS	11.945	47.513	23.862	33.999	4.4136	20.026	0.12291	58.613	91.021	126.59	140.52	9.8222	64.13	0.68431
ACADSB	17.295	7.4886	24.252	24.456	9.8984	9.4311	18.637	34.165	9.3047	63.016	43.927	11.474	23.179	29.969
ACADVL	75.991	332.56	116.58	146.61	141.31	108.97	156.76	180.78	553.26	249.52	278.11	192.15	137.02	259.67
ACAN	0	0	0.20727	0.44723	0	0.0017073	0	0	0	1.643	6.7866	0	0.015461	0
ACAP1	143.43	0.2975	192.42	203.82	0	14.67	166.89	214.43	0.84146	342.46	345.88	0	70.234	297.55
ACAP2	22.585	6.1736	21.518	29.53	10.658	19.617	26.877	59.744	9.6701	37.052	73.711	17.396	35.62	57.049
ACAP3	0.49497	10.546	1.6638	5.7588	7.8409	3.7671	0	3.5434	15.682	16.127	52.552	25.797	20.106	0
ACAT1	45.7	114.23	55.663	26.249	74.794	45.553	35.953	154.38	123.06	159.97	116.26	88.505	89.337	145.72
ACAT2	56.767	45.352	43.399	51.187	77.373	12.601	144.03	190.47	114.38	183	206.44	150.22	56.477	450.54
ACBD3	2.2001	16.328	6.454	13.2	3.9756	17.687	5.1722	12.61	29.064	21.383	65.938	10.484	61.012	20.789
ACBD4	11.155	12.528	18.668	21.878	3.5938	8.3709	28.284	26.843	14.727	73.038	68.042	7.2338	23.715	116.31
ACBD5	12.617	4.0739	20.19	25.313	2.7428	11.323	9.2254	30.834	5.8072	86.927	79.766	6.1108	21.381	19.394
ACBD6	38.046	32.449	39.992	47.043	94.935	25.244	9.6595	134.28	42.869	140.75	188.41	126.58	57.105	38.931
ACBD7	31.58	11.835	38.342	40.66	15.816	14.454	29.318	31.045	9.4984	65.854	43.381	19.354	13.431	21.706
ACCS	19.942	19.304	15.828	11.02	5.6411	8.3553	1.341	90.64	28.877	78.203	68.825	18.71	25.597	7.4662
ACCSL	0	0	0.097394	0.10959	0	0.078172	0	0	0	0.88207	1.2521	0	0.70787	0
ACD	21.556	5.2589	20.218	29.052	35.916	8.688	8.2546	74.534	14.874	74.845	99.982	79.083	30.111	35.133
ACE	0.037901	9.2937	1.444	0.40687	35.497	5.7662	0	0.29843	17.413	15.915	8.968	71.597	34.607	0
ACE2	0	0	0	0.2101	0	0	0	0	0	0	4.6727	0	0	0
ACER1	0	0	5.3272	1.6971	0	0	0	0	0	68.43	39.388	0	0	0
ACER2	4.6807	1.5599	8.0896	0.57069	15.99	0.73619	0	35.296	4.4121	50.333	9.6232	38.154	3.5305	0
ACER3	0.64721	0.76249	0.58767	4.0725	7.9121	18.447	6.6903	3.5901	2.1567	5.3789	29.873	17.946	44.969	20.558
ACHE	0	0	0	0.39348	18.146	0	0	0	0	0	6.3615	60.184	0	0
ACIN1	23.506	27.98	33.75	37.389	23.509	11.901	15.116	66.837	27.691	77.35	72.998	32.97	27.934	34.09
ACLY	34.075	50.047	58.389	83.036	41.106	28.08	111.31	88.735	56.35	144.23	186.23	57.173	57.602	261.53
ACMSD	0.046448	0	0.13788	0.045575	0	0	0.2613	0.36573	0	1.7711	0.80943	0	0	1.4548
ACN9	6.1878	3.8375	11.696	16.663	11.649	5.5212	5.0883	31.015	8.7211	59.495	59.368	25.956	22.899	28.331
ACO1	6.8629	20.952	1.9661	4.8124	34.71	13.062	7.4942	40.173	35.881	18.384	46.462	67.942	52.255	41.726
ACO2	122.64	30.103	56.386	86.405	2.2445	70.353	35.416	281.53	38.025	167.77	230.1	7.4443	145.41	107.23
ACOT1	0	3.0111	3.9074	4.505	12.304	3.3701	8.5998	0	8.5167	28.255	27.33	30.139	14.713	33.289
ACOT11	0.074351	0	0.87713	0.11348	26.329	10.015	0.072259	0.41056	0	9.9538	1.7336	83.5	42.175	0.40232
ACOT12	0	0	0	0	2.8692	0.16963	0	0	0	0	0	9.516	1.5361	0
ACOT13	20.349	5.621	21.225	19.857	12.419	18.683	4.9331	87.696	7.8924	69.213	65.286	17.495	32.55	16.078
ACOT2	11.527	18.93	14.528	29.873	55.369	14.343	64.791	49.313	33.727	68.849	102.85	82.661	45.415	211.74
ACOT4	2.5122	0	13.79	6.6697	0	5.0265	43.546	19.781	0	98.864	66.977	0	22.807	188.92
ACOT6	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACOT7	10.529	65.128	59.42	43.417	32.388	10.555	38.894	62.462	131.95	316.32	168.98	107.42	42.068	167.34
ACOT8	50.748	49.594	42.308	51.834	71.289	39.463	0	172.36	72.336	213.09	193.49	191.84	117.74	0
ACOT9	41.612	137.85	69.977	46.767	68.324	75.602	17.184	203.78	206.89	200.18	168.52	131.63	136.99	95.013
ACOX1	10.312	8.1638	11.232	16.214	18.442	11.591	4.7721	22.573	12.858	26.072	46.793	26.775	26.419	5.9576
ACOX2	0.55255	5.8613	0.11121	0.085831	0	0.54575	0	4.3508	16.578	1.4285	0.97619	0	4.6465	0
ACOX3	14.401	5.6965	15.366	23.093	6.4823	9.1129	4.1853	78.078	14.268	75.062	101.54	21.499	35.976	19.298
ACOXL	0.31515	0	0	0.096654	0	0	0	2.4815	0	0	1.8091	0	0	0
ACP1	60.815	119.17	83.758	117.99	90.911	50.785	200.3	150.95	78.211	247.76	282.78	120.62	91.334	343.88
ACP2	5.4918	95.018	24.306	30.036	48.712	123.66	1.9487	30.772	167.43	107.68	128.26	100.48	184.3	10.85
ACP5	315.02	0	204.42	146.08	12.447	273.28	74.75	538.37	0	488.09	366.26	41.282	455.55	253.92
ACP6	10.819	3.8187	4.1397	17.692	0	0.026098	0	69.934	8.4207	22.234	143.15	0	0.17352	0
ACPL2	0.080801	32.781	2.6344	14.732	0.61364	1.1472	47.232	0.63623	54.327	18.963	87.085	2.0352	10.275	167.99
ACPP	0.51046	0.0575	0.78147	0.53246	0	31.446	0.43582	1.3401	0.16263	2.4953	1.7993	0	100.95	1.3526
ACPT	0	0	0.46696	0.098608	2.17	0	0	0	0	5.7417	1.7725	7.1972	0	0
ACR	0	0	0	0.084163	0	0	0	0	0	0	1.8665	0	0	0
ACRBP	2.487	0	0.44868	2.2186	0	18.642	0	16.947	0	5.1061	30.37	0	62.055	0
ACRC	8.2924	0	2.7074	3.1384	0	0	0	55.395	0	22.013	28.288	0	0	0
ACRV1	0	0	0	1.3822	0	0	0	0	0	0	28.469	0	0	0
ACSBG1	0	0	0.064053	0.36686	0	0	0	0	0	0.77143	6.8498	0	0	0
ACSBG2	1.8408	0.41499	0	0.10664	0	0	0	14.494	1.1738	0	1.7159	0	0	0
ACSF2	12.444	0	9.7548	11.705	5.0501	14.175	0	70.836	0	68.429	86.862	16.749	48.8	0
ACSF3	39.59	7.331	26.098	17.802	51.542	8.5067	33.031	123.22	20.096	95.034	73.082	114.9	32.206	150.86
ACSL1	30.427	39.388	2.8234	21.745	12.806	168.58	8.8585	173.79	58.412	14.629	100.48	36.855	246.64	49.322
ACSL3	19.706	47.313	12.693	21.599	23.338	36.463	6.7826	80.423	37.046	57.203	88.371	51.876	104.72	21.314
ACSL4	8.6097	19.981	20.74	32.301	1.5409	33.529	5.9278	44.857	41.052	88.815	116.73	2.9335	59.179	31.611
ACSL5	46.284	17.968	61.929	110.41	33.732	29.86	52.459	145.62	24.105	155.59	241.07	78.543	79.46	159.79
ACSL6	2.6105	1.3875	7.7158	9.1771	0.73819	1.7556	6.5556	4.7616	1.9425	26.337	33.109	1.5241	2.377	21.341
ACSM1	0.47611	0	0.01297	0.049422	5.5365	0.14415	0	3.7489	0	0.1666	0.63225	18.362	1.3054	0
ACSM2A	0	0	0.062303	0.11723	29.003	0.018536	0	0	0	0.64229	1.1383	96.192	0.1137	0
ACSM2B	0	0	0	0.035631	5.8164	0	0	0	0	0	0.34905	19.291	0	0
ACSM3	1.4355	43.084	11.107	3.5401	0	0.23122	0.7852	9.4502	108.17	104.98	53.161	0	1.9924	4.3718
ACSM4	0.34758	0	0	0.19477	0	0	0	2.1866	0	0	1.8837	0	0	0
ACSM5	0.64383	2.3237	0.088485	0.24402	0	6.769	0	5.0695	6.5724	0.81214	2.5074	0	32.145	0
ACSS1	54.948	2.3151	13.708	20.822	8.5759	4.3497	5.6375	184.33	6.548	65.12	93.379	28.443	20.23	31.388
ACSS2	0	26.063	12.667	0.48416	68.241	18.101	0	0	53.359	85.035	6.5062	178.86	54.748	0
ACSS3	0.15031	1.205	0.37539	0.75731	0	0.084877	0.3813	0.69654	3.4083	2.1209	7.2427	0	0.36779	1.5011
ACTA1	0.025484	0.12875	0.29206	0.29463	0	3.757	0	0.20066	0.36415	1.9401	2.9465	0	32.651	0
ACTA2	15.709	478.88	41.622	78.762	0	2.6294	10.968	88.624	896.46	168.32	269.62	0	14.787	55.811
ACTB	6780.7	7317.8	10631	11849	3428.7	10275	13485	4865.9	5260.8	7870.2	8790.3	2827	7597	7237.9
ACTBL2	0.13273	0	0.025097	0.021157	0	0.025731	0.33678	0.7679	0	0.19367	0.30273	0	0.23301	1.8751
ACTC1	0.064188	0	0.35444	0.38403	0.05909	0.046585	0	0.35482	0	2.7212	6.0089	0.19598	0.24497	0
ACTG1	2247.3	5585.2	3200.5	3392.8	4291.2	2297.6	4312.9	2345.2	2611.6	2335.2	2643	3855.9	1742.3	2865.8
ACTG1P4	0.30128	1.8625	1.1618	1.8918	0.63364	0.49536	0.42488	0.97759	5.2678	6.4394	22.396	1.7308	1.4399	2.3656
ACTG2	0.031449	0	8.4232	0.21566	0	0.72001	1.1997	0.24763	0	102.48	1.1968	0	3.5632	4.8897
ACTL10	8.8119	0	0.053757	2.1414	0	3.0715	0	69.385	0	0.69052	26.563	0	23.524	0
ACTL6A	115.04	50.263	41.323	83.626	27.315	31.134	49.878	314.38	56.77	176.98	248.04	58.611	118.37	126.97
ACTL6B	0	0	0.018666	0.0024303	0	0	0	0	0	0.23977	0.058831	0	0	0
ACTL7A	0	0	0.17503	0.20815	0	0	0	0	0	2.2482	3.09	0	0	0
ACTL7B	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACTL8	0.75818	0	0.14018	0.88798	0	0	0	5.97	0	1.8006	19.199	0	0	0
ACTL9	0	0	0.54915	0.0040101	0	0	0	0	0	7.054	0.097074	0	0	0
ACTN1	2.1146	253.65	26.182	9.488	537.13	74.739	20.257	15.846	268.66	110.7	61.328	568.14	119.7	110.52
ACTN1-AS1	0	0	0	0.079032	0	0	0	0	0	0	1.9132	0	0	0
ACTN2	0	0	0.1418	0.042476	0	0	0	0	0	1.2327	0.52415	0	0	0
ACTN3	0	0	0	0.047942	0	0	0	0	0	0	0.43598	0	0	0
ACTN4	35.747	31.205	93.861	119.88	144.53	33.858	173.88	98.732	41.275	186.82	206.25	123.59	65.416	253.31
ACTR10	40.713	41.404	59.591	70.899	31.318	44.68	42.618	116.06	43.041	184.07	181.08	69.033	78.225	121.95
ACTR1A	33.707	81.065	72.133	64.109	113.99	78.769	159.45	89.732	75.234	212.1	162.07	114.06	108.51	283.46
ACTR1B	35.289	13.061	121.52	55.903	42.693	13.124	28.435	108.02	21.783	299.05	169.03	80.237	37.385	158.32
ACTR2	138.19	42.154	143.37	188.14	57.307	168.41	258.41	222.36	34.377	215.61	285.86	63.937	179.9	305.49
ACTR3	300.69	141.34	395.27	434.79	268.45	306.04	406.08	380.97	193.77	525.71	580.86	264.72	317	539.29
ACTR3B	4.9919	0	0.12374	4.8719	0	0.71012	0	33.698	0	1.2032	41.615	0	6.4304	0
ACTR3BP2	0	0	2.582	0.8807	0	0	0	0	0	19.996	13.955	0	0	0
ACTR3BP5	0	0	6.2839	1.4472	0	0	0	0	0	59.235	19.659	0	0	0
